Zdroj;čas;prefix address;prefix mask;metrika;next-hop;;;
B;2w5d;5.101.48.0;22;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;1w2d;5.101.56.0;22;[20/0];via 64.71.137.241;1w2d;216:00:00;777600
B;3d03h;5.101.58.0;24;[20/0];via 64.71.137.241;3d03h;75:00:00;270000
B;3d03h;5.101.59.0;24;[20/0];via 64.71.137.241;3d03h;75:00:00;270000
B;6:48:42;5.101.60.0;22;[20/0];via 217.192.89.50;06:48:42;06:48:42;24522
B;2d16h;5.101.64.0;22;[20/0];via 193.0.0.56;2d16h;64:00:00;230400
B;2d16h;5.101.64.0;23;[20/0];via 193.0.0.56;2d16h;64:00:00;230400
B;1d06h;5.101.64.0;24;[20/0];via 94.142.247.3;1d06h;30:00:00;108000
B;1d06h;5.101.65.0;24;[20/0];via 94.142.247.3;1d06h;30:00:00;108000
B;2d16h;5.101.66.0;23;[20/0];via 193.0.0.56;2d16h;64:00:00;230400
B;1d06h;5.101.66.0;24;[20/0];via 94.142.247.3;1d06h;30:00:00;108000
B;1d06h;5.101.67.0;24;[20/0];via 94.142.247.3;1d06h;30:00:00;108000
B;2w5d;5.101.68.0;24;[20/0];via 154.11.12.212;2w5d;456:00:00;1641600
B;2w5d;5.101.69.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2w5d;5.101.70.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.101.71.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;5d21h;5.101.72.0;23;[20/0];via 217.192.89.50;5d21h;141:00:00;507600
B;5d21h;5.101.72.0;24;[20/0];via 217.192.89.50;5d21h;141:00:00;507600
B;5d21h;5.101.73.0;24;[20/0];via 217.192.89.50;5d21h;141:00:00;507600
B;6d09h;5.101.74.0;23;[20/0];via 4.68.4.46;6d09h;153:00:00;550800
B;6d09h;5.101.74.0;24;[20/0];via 4.68.4.46;6d09h;153:00:00;550800
B;6d09h;5.101.75.0;24;[20/0];via 4.68.4.46;6d09h;153:00:00;550800
B;5d21h;5.101.76.0;24;[20/0];via 217.192.89.50;5d21h;141:00:00;507600
B;5d21h;5.101.77.0;24;[20/0];via 217.192.89.50;5d21h;141:00:00;507600
B;5d21h;5.101.78.0;24;[20/0];via 217.192.89.50;5d21h;141:00:00;507600
B;6d09h;5.101.79.0;24;[20/0];via 4.68.4.46;6d09h;153:00:00;550800
B;2d16h;5.101.80.0;21;[20/0];via 193.0.0.56;2d16h;64:00:00;230400
B;1w2d;5.101.88.0;24;[20/0];via 64.71.137.241;1w2d;216:00:00;777600
B;2d12h;5.101.89.0;24;[20/0];via 64.71.137.241;2d12h;60:00:00;216000
B;2d16h;5.101.90.0;23;[20/0];via 193.0.0.56;2d16h;64:00:00;230400
B;2w5d;5.101.92.0;22;[20/0];via 12.0.1.63;2w5d;456:00:00;1641600
B;1w6d;5.101.96.0;21;[20/0];via 94.142.247.3;1w6d;312:00:00;1123200
B;1w6d;5.101.104.0;22;[20/0];via 94.142.247.3;1w6d;312:00:00;1123200
B;2w5d;5.101.108.0;24;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;3:18:56;5.101.109.0;24;[20/0];via 94.142.247.3;03:18:56;03:18:56;11936
B;3:18:56;5.101.110.0;24;[20/0];via 94.142.247.3;03:18:56;03:18:56;11936
B;2w5d;5.101.111.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.101.112.0;20;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.112.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.113.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;1w1d;5.101.114.0;24;[20/0];via 64.71.137.241;1w1d;192:00:00;691200
B;2w5d;5.101.115.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.116.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.117.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.118.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.119.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.120.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.121.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.122.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.123.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.124.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.125.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.126.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.127.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;3w0d;5.101.128.0;21;[20/0];via 217.192.89.50;3w0d;504:00:00;1814400
B;2w5d;5.101.136.0;21;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.101.144.0;21;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2d12h;5.101.152.0;21;[20/0];via 114.31.199.16;2d12h;60:00:00;216000
B;2w5d;5.101.152.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.101.153.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.101.154.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.101.155.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.101.156.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
