Zdroj;Èas;prefix address;prefix mask;metrika;next-hop
B;1641600;5.101.48.0;22;[20/0];via 202.232.0.2
B;777600;5.101.56.0;22;[20/0];via 64.71.137.241
B;270000;5.101.58.0;24;[20/0];via 64.71.137.241
B;270000;5.101.59.0;24;[20/0];via 64.71.137.241
B;24522;5.101.60.0;22;[20/0];via 217.192.89.50
B;230400;5.101.64.0;22;[20/0];via 193.0.0.56
B;230400;5.101.64.0;23;[20/0];via 193.0.0.56
B;108000;5.101.64.0;24;[20/0];via 94.142.247.3
B;108000;5.101.65.0;24;[20/0];via 94.142.247.3
B;230400;5.101.66.0;23;[20/0];via 193.0.0.56
B;108000;5.101.66.0;24;[20/0];via 94.142.247.3
B;108000;5.101.67.0;24;[20/0];via 94.142.247.3
B;1641600;5.101.68.0;24;[20/0];via 154.11.12.212
B;1641600;5.101.69.0;24;[20/0];via 202.232.0.2
B;1641600;5.101.70.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.71.0;24;[20/0];via 202.232.0.2
B;507600;5.101.72.0;23;[20/0];via 217.192.89.50
B;507600;5.101.72.0;24;[20/0];via 217.192.89.50
B;507600;5.101.73.0;24;[20/0];via 217.192.89.50
B;550800;5.101.74.0;23;[20/0];via 4.68.4.46
B;550800;5.101.74.0;24;[20/0];via 4.68.4.46
B;550800;5.101.75.0;24;[20/0];via 4.68.4.46
B;507600;5.101.76.0;24;[20/0];via 217.192.89.50
B;507600;5.101.77.0;24;[20/0];via 217.192.89.50
B;507600;5.101.78.0;24;[20/0];via 217.192.89.50
B;550800;5.101.79.0;24;[20/0];via 4.68.4.46
B;230400;5.101.80.0;21;[20/0];via 193.0.0.56
B;777600;5.101.88.0;24;[20/0];via 64.71.137.241
B;216000;5.101.89.0;24;[20/0];via 64.71.137.241
B;230400;5.101.90.0;23;[20/0];via 193.0.0.56
B;1641600;5.101.92.0;22;[20/0];via 12.0.1.63
B;1123200;5.101.96.0;21;[20/0];via 94.142.247.3
B;1123200;5.101.104.0;22;[20/0];via 94.142.247.3
B;1641600;5.101.108.0;24;[20/0];via 202.232.0.2
B;11936;5.101.109.0;24;[20/0];via 94.142.247.3
B;11936;5.101.110.0;24;[20/0];via 94.142.247.3
B;1641600;5.101.111.0;24;[20/0];via 4.68.4.46
B;1641600;5.101.112.0;20;[20/0];via 217.192.89.50
B;1641600;5.101.112.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.113.0;24;[20/0];via 217.192.89.50
B;691200;5.101.114.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.115.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.116.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.117.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.118.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.119.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.120.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.121.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.122.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.123.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.124.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.125.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.126.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.127.0;24;[20/0];via 217.192.89.50
B;1814400;5.101.128.0;21;[20/0];via 217.192.89.50
B;1641600;5.101.136.0;21;[20/0];via 4.68.4.46
B;1641600;5.101.144.0;21;[20/0];via 4.68.4.46
B;216000;5.101.152.0;21;[20/0];via 114.31.199.16
B;1641600;5.101.152.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.153.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.154.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.155.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.156.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.157.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.158.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.159.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.160.0;21;[20/0];via 217.192.89.50
B;1641600;5.101.168.0;21;[20/0];via 4.68.4.46
B;1641600;5.101.176.0;20;[20/0];via 217.192.89.50
B;1641600;5.101.176.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.177.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.178.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.179.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.180.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.181.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.182.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.183.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.184.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.185.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.186.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.188.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.189.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.190.0;24;[20/0];via 217.192.89.50
B;1641600;5.101.191.0;24;[20/0];via 217.192.89.50
B;1814400;5.101.192.0;21;[20/0];via 217.192.89.50
B;24522;5.101.200.0;21;[20/0];via 217.192.89.50
B;1641600;5.101.208.0;22;[20/0];via 64.71.137.241
B;1641600;5.101.212.0;22;[20/0];via 64.71.137.241
B;100800;5.101.216.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.217.0;24;[20/0];via 64.71.137.241
B;1296000;5.101.218.0;24;[20/0];via 64.71.137.241
B;1641600;5.101.219.0;24;[20/0];via 64.71.137.241
B;244800;5.101.220.0;24;[20/0];via 94.142.247.3
B;1641600;5.101.222.0;24;[20/0];via 64.71.137.241
B;244800;5.101.223.0;24;[20/0];via 94.142.247.3
B;1641600;5.101.224.0;19;[20/0];via 12.0.1.63
B;212400;5.102.0.0;19;[20/0];via 4.68.4.46
B;604800;5.102.0.0;23;[20/0];via 4.68.4.46
B;126000;5.102.0.0;24;[20/0];via 64.71.137.241
B;126000;5.102.1.0;24;[20/0];via 64.71.137.241
B;212400;5.102.2.0;23;[20/0];via 4.68.4.46
B;604800;5.102.2.0;24;[20/0];via 4.68.4.46
B;604800;5.102.3.0;24;[20/0];via 4.68.4.46
B;212400;5.102.4.0;23;[20/0];via 4.68.4.46
B;126000;5.102.4.0;24;[20/10];via 89.149.178.10
B;126000;5.102.5.0;24;[20/10];via 89.149.178.10
B;169200;5.102.6.0;23;[20/10];via 89.149.178.10
B;604800;5.102.6.0;24;[20/0];via 4.68.4.46
B;604800;5.102.7.0;24;[20/0];via 4.68.4.46
B;169200;5.102.8.0;23;[20/10];via 89.149.178.10
B;126000;5.102.8.0;24;[20/0];via 64.71.137.241
B;126000;5.102.9.0;24;[20/0];via 64.71.137.241
B;604800;5.102.10.0;23;[20/0];via 4.68.4.46
B;126000;5.102.10.0;24;[20/10];via 89.149.178.10
B;126000;5.102.11.0;24;[20/10];via 89.149.178.10
B;212400;5.102.12.0;23;[20/0];via 4.68.4.46
B;212400;5.102.12.0;24;[20/0];via 4.68.4.46
B;212400;5.102.13.0;24;[20/0];via 4.68.4.46
B;169200;5.102.14.0;23;[20/10];via 89.149.178.10
B;126000;5.102.14.0;24;[20/0];via 64.71.137.241
B;126000;5.102.15.0;24;[20/0];via 64.71.137.241
B;169200;5.102.16.0;23;[20/10];via 89.149.178.10
B;126000;5.102.16.0;24;[20/0];via 64.71.137.241
B;126000;5.102.17.0;24;[20/0];via 64.71.137.241
B;1209600;5.102.18.0;23;[20/0];via 4.68.4.46
B;126000;5.102.18.0;24;[20/10];via 89.149.178.10
B;126000;5.102.19.0;24;[20/10];via 89.149.178.10
B;1209600;5.102.20.0;23;[20/0];via 4.68.4.46
B;126000;5.102.20.0;24;[20/10];via 89.149.178.10
B;126000;5.102.21.0;24;[20/10];via 89.149.178.10
B;212400;5.102.22.0;23;[20/0];via 4.68.4.46
B;212400;5.102.22.0;24;[20/0];via 4.68.4.46
B;212400;5.102.23.0;24;[20/0];via 4.68.4.46
B;604800;5.102.24.0;24;[20/0];via 4.68.4.46
B;241200;5.102.25.0;24;[20/0];via 4.68.4.46
B;604800;5.102.26.0;24;[20/0];via 4.68.4.46
B;241200;5.102.27.0;24;[20/0];via 4.68.4.46
B;1123200;5.102.32.0;22;[20/0];via 217.192.89.50
B;1641600;5.102.36.0;23;[20/0];via 12.0.1.63
B;1641600;5.102.38.0;24;[20/0];via 12.0.1.63
B;1641600;5.102.39.0;24;[20/0];via 4.68.4.46
B;1728000;5.102.40.0;22;[20/0];via 64.71.137.241
B;1728000;5.102.40.0;24;[20/0];via 12.0.1.63
B;19747;5.102.42.0;24;[20/0];via 64.71.137.241
B;48828;5.102.44.0;24;[20/0];via 4.68.4.46
B;446400;5.102.45.0;24;[20/0];via 64.71.137.241
B;1123200;5.102.46.0;24;[20/0];via 217.192.89.50
B;529200;5.102.47.0;24;[20/0];via 64.71.137.241
B;1728000;5.102.48.0;20;[20/0];via 64.71.137.241
B;51620;5.102.64.0;23;[20/0];via 64.71.137.241
B;51620;5.102.66.0;23;[20/0];via 64.71.137.241
B;51620;5.102.68.0;22;[20/0];via 64.71.137.241
B;51620;5.102.71.0;24;[20/0];via 64.71.137.241
B;71370;5.102.72.0;24;[20/0];via 202.232.0.2
B;72528;5.102.73.0;24;[20/10];via 89.149.178.10
B;1641600;5.102.75.0;24;[20/0];via 154.11.12.212
B;169200;5.102.76.0;24;[20/10];via 89.149.178.10
B;169200;5.102.77.0;24;[20/10];via 89.149.178.10
B;72528;5.102.78.0;24;[20/10];via 89.149.178.10
B;169200;5.102.79.0;24;[20/10];via 89.149.178.10
B;1641600;5.102.80.0;20;[20/0];via 64.71.137.241
B;45333;5.102.96.0;22;[20/0];via 64.71.137.241
B;1641600;5.102.100.0;24;[20/0];via 64.71.137.241
